thickness,RE,Umach,AOA,Cl,Cdt,Cdp,Cdf,Cm
9,1.00E+05,0.05,0,-7.53E-09,1.44E-02,2.74E-03,1.16E-02,4.00E-10
9,1.00E+05,0.05,1,0.105064353,1.45E-02,2.89E-03,1.16E-02,-8.20E-04
9,1.00E+05,0.05,2,0.209755558,1.47E-02,3.37E-03,1.14E-02,-1.66E-03
9,1.00E+05,0.05,3,0.313682921,1.53E-02,4.18E-03,1.11E-02,-2.56E-03
9,1.00E+05,0.05,4,0.416310944,1.60E-02,5.39E-03,1.06E-02,-3.57E-03
9,1.00E+05,0.05,5,0.516875364,1.71E-02,7.08E-03,1.01E-02,-4.75E-03
9,1.00E+05,0.05,5.5,0.566022699,1.79E-02,8.15E-03,9.70E-03,-5.42E-03
9,1.00E+05,0.05,6,0.614115792,1.87E-02,9.42E-03,9.31E-03,-6.17E-03
9,1.00E+05,0.05,6.5,0.660797349,1.98E-02,1.09E-02,8.87E-03,-7.01E-03
9,1.00E+05,0.05,7,0.705507817,2.11E-02,1.28E-02,8.36E-03,-7.98E-03
9,1.00E+05,0.05,7.5,0.747412978,2.29E-02,1.51E-02,7.78E-03,-9.10E-03
9,1.00E+05,0.05,8,0.784663494,2.52E-02,1.82E-02,7.09E-03,-1.05E-02
9,1.00E+05,0.05,8.5,0.812396993,2.90E-02,2.28E-02,6.18E-03,-1.22E-02
9,1.00E+05,0.05,9,0.772879324,4.57E-02,4.17E-02,3.98E-03,-1.37E-02
9,1.00E+05,0.05,9.5,0.575540681,8.87E-02,8.46E-02,4.10E-03,2.83E-02
9,1.00E+05,0.05,10,0.880360726,7.66E-02,7.17E-02,4.82E-03,-3.70E-03
9,1.00E+05,0.1,0,1.22E-09,1.44E-02,2.76E-03,1.16E-02,1.14E-09
9,1.00E+05,0.1,1,0.105433113,1.45E-02,2.91E-03,1.16E-02,-8.29E-04
9,1.00E+05,0.1,2,0.210496116,1.48E-02,3.39E-03,1.14E-02,-1.68E-03
9,1.00E+05,0.1,3,0.314784701,1.53E-02,4.21E-03,1.11E-02,-2.60E-03
9,1.00E+05,0.1,4,0.417754421,1.60E-02,5.43E-03,1.06E-02,-3.63E-03
9,1.00E+05,0.1,5,0.518620645,1.72E-02,7.13E-03,1.00E-02,-4.83E-03
9,1.00E+05,0.1,5.5,0.567889177,1.79E-02,8.22E-03,9.67E-03,-5.52E-03
9,1.00E+05,0.1,6,0.616066227,1.88E-02,9.51E-03,9.28E-03,-6.29E-03
9,1.00E+05,0.1,6.5,0.662767532,1.99E-02,1.11E-02,8.82E-03,-7.17E-03
9,1.00E+05,0.1,7,0.707380037,2.13E-02,1.30E-02,8.31E-03,-8.17E-03
9,1.00E+05,0.1,7.5,0.748954563,2.31E-02,1.54E-02,7.71E-03,-9.34E-03
9,1.00E+05,0.1,8,0.785331086,2.56E-02,1.86E-02,6.98E-03,-1.08E-02
9,1.00E+05,0.1,8.5,0.81037639,2.98E-02,2.38E-02,6.01E-03,-1.26E-02
9,1.00E+05,0.1,9,0.65304725,9.81E-02,9.51E-02,3.04E-03,4.24E-02
9,1.00E+05,0.1,9.5,0.569282671,8.82E-02,8.42E-02,4.03E-03,2.59E-02
9,1.00E+05,0.1,10,0.886247117,7.61E-02,7.12E-02,4.92E-03,-5.98E-03
9,1.00E+05,0.15,0,1.03E-09,1.44E-02,2.78E-03,1.16E-02,-4.12E-10
9,1.00E+05,0.15,1,0.106057671,1.45E-02,2.94E-03,1.15E-02,-8.45E-04
9,1.00E+05,0.15,2,0.211751741,1.48E-02,3.42E-03,1.14E-02,-1.71E-03
9,1.00E+05,0.15,3,0.316651973,1.53E-02,4.25E-03,1.10E-02,-2.66E-03
9,1.00E+05,0.15,4,0.42020025,1.61E-02,5.49E-03,1.06E-02,-3.73E-03
9,1.00E+05,0.15,5,0.521574682,1.72E-02,7.23E-03,9.99E-03,-4.98E-03
9,1.00E+05,0.15,5.5,0.571044355,1.80E-02,8.34E-03,9.62E-03,-5.70E-03
9,1.00E+05,0.15,6,0.619352861,1.89E-02,9.67E-03,9.22E-03,-6.51E-03
9,1.00E+05,0.15,6.5,0.666068776,2.00E-02,1.13E-02,8.75E-03,-7.44E-03
9,1.00E+05,0.15,7,0.710470187,2.15E-02,1.33E-02,8.21E-03,-8.50E-03
9,1.00E+05,0.15,7.5,0.751372994,2.34E-02,1.58E-02,7.58E-03,-9.77E-03
9,1.00E+05,0.15,8,0.785978282,2.63E-02,1.95E-02,6.80E-03,-1.13E-02
9,1.00E+05,0.15,8.5,0.805204271,3.14E-02,2.57E-02,5.70E-03,-1.34E-02
9,1.00E+05,0.15,9,0.705928526,4.22E-02,3.76E-02,4.60E-03,-1.28E-02
9,1.00E+05,0.15,9.5,0.57110258,9.12E-02,8.71E-02,4.12E-03,3.05E-02
9,1.00E+05,0.15,10,0.894819827,7.23E-02,6.79E-02,4.40E-03,-2.85E-02
9,1.00E+05,0.2,0,1.08E-09,1.44E-02,2.82E-03,1.16E-02,3.14E-10
9,1.00E+05,0.2,1,0.106959291,1.45E-02,2.98E-03,1.15E-02,-8.68E-04
9,1.00E+05,0.2,2,0.213555617,1.48E-02,3.47E-03,1.13E-02,-1.77E-03
9,1.00E+05,0.2,3,0.319333112,1.53E-02,4.32E-03,1.10E-02,-2.75E-03
